"","X","Title","News_Link","Date","Status","Status_Frequency","Daily_Total_Frequency","Year","Month","Day"
"1",1,"杭州“市民之家”热心服务台胞获赠锦旗_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201808/t20180827_12051806.htm","2018-08-27","Compatriots",3,3,2018,8,27
"2",2,"福建漳浦严厉打击侵犯台胞台企合法权益犯罪行为_中共中央台湾工作...","http://www.gwytb.gov.cn/tbqy/zongshu/201808/t20180829_12052802.htm","2018-08-22","Compatriots",1,1,2018,8,22
"3",3,"大连市举办台商台胞暨两岸婚姻家庭迎中秋联谊会_中共中央台湾工作...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180920_12062323.htm","2020-12-09","Compatriots",6,8,2020,12,9
"4",4,"台湾居民来往大陆通行证(台胞证)办理及签注方法_中共中央台湾工作...","http://www.gwytb.gov.cn/zn/crj/201211/t20121119_3378792.htm","2020-12-09","Compatriots",6,8,2020,12,9
"5",5,"台胞可报考2018年全国导游资格考试_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/zzks/zxzx_43780/201807/t20180730_12042048.htm","2018-07-24","Compatriots",2,2,2018,7,24
"6",6,"台胞在家突然晕倒病危 上海有关方合力抢救_中共中央台湾工作办公...","http://www.gwytb.gov.cn/jy_43772/zxzx_43774/201412/t20141216_8382943.htm","2014-12-05","Compatriots",1,1,2014,12,5
"7",7,"台湾未能加入RCEP,国台办:欢迎台胞台企到大陆投资创业,共享发展...","http://www.gwytb.gov.cn/m/news/202011/t20201125_12308216.htm","2020-11-25","Compatriots",3,7,2020,11,25
"8",8,"江西省台胞服务中心、台胞法律服务中心挂牌成立_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201701/t20170124_11686977.htm","2017-01-22","Compatriots",3,3,2017,1,22
"9",9,"成都市温江区积极解决台胞子女入学问题_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/gxtbsh/201808/t20180830_12053491.htm","2020-12-09","Compatriots",6,8,2020,12,9
"10",10,"陈元丰走访慰问天津台胞并调研_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/newsb/201901/t20190118_12133070.htm","2019-01-18","Compatriots",2,2,2019,1,18
"11",11,"国台办介绍各地各部门落实“31条惠及台胞措施”新进展_中共中央...","http://www.gwytb.gov.cn/wyly/201806/t20180627_11969492.htm","2018-06-27","Compatriots",2,3,2018,6,27
"12",12,"济宁市公安机关出台服务台商台胞十项措施_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wl/zxzx_43786/201412/t20141216_8377799.htm","2014-05-22","Compatriots",1,1,2014,5,22
"13",13,"陈云林就制订台胞投资保护法实施细则发表谈话_中共中央台湾工作...","http://www.gwytb.gov.cn/zlzx/location/201101/t20110123_1725680.htm","2020-12-08","Compatriots",10,10,2020,12,8
"14",14,"广州市花都区积极做好台胞子女就学服务工作_中共中央台湾工作办公...","http://www.gwytb.gov.cn/service/201704/t20170427_11755044.htm","2017-04-26","Compatriots",1,1,2017,4,26
"15",15,"南充市台办春节前夕走访慰问台胞台属_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201701/t20170111_11676097.htm","2020-12-08","Compatriots",10,10,2020,12,8
"16",16,"各地服务台胞举措_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/fuwu/","2020-12-08","Compatriots",10,10,2020,12,8
"17",17,"全国台联2018年台胞青年千人夏令营四川·成都分营开营_中共中央...","http://www.gwytb.gov.cn/local/201807/t20180718_12036921.htm","2018-07-18","Compatriots",2,2,2018,7,18
"18",18,"关心台胞生活_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/service/gxtbsh/","2020-12-08","Compatriots",10,10,2020,12,8
"19",19,"台胞子女就读大陆中小学和幼儿园_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/zn/jx/201103/t20110323_1797068.htm","2020-12-08","Compatriots",10,10,2020,12,8
"20",20,"南京市台办组织第十五批台商台胞集中换领驾照_中共中央台湾工作...","http://www.gwytb.gov.cn/service/cxggjc/201802/t20180209_11923287.htm","2020-12-08","Compatriots",10,10,2020,12,8
"21",21,"台湾律师加盟杭州台商法律服务团 助力台胞分享大陆发展红利_中共...","http://www.gwytb.gov.cn/service/cxggjc/201803/t20180322_11936215.htm","2020-12-08","Compatriots",10,10,2020,12,8
"22",22,"全国台联2018年台胞青年千人夏令营江西分营圆满闭营_中共中央台湾...","http://www.gwytb.gov.cn/local/201807/t20180731_12042364.htm","2018-07-31","Compatriots",2,2,2018,7,31
"23",23,"上海:30位台胞获颁首批台湾居民居住证_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jl/zxzx_43777/201809/t20180925_12095065.htm","2018-09-19","Compatriots",1,1,2018,9,19
"24",24,"台胞怎样在大陆申请学历学位认证_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/jx/re2/qt2/201710/t20171019_11854342.htm","2020-12-08","Compatriots",10,10,2020,12,8
"25",25,"广东珠海等地召开台胞台商台属迎春座谈会_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201602/t20160204_11382441.htm","2016-02-04","Compatriots",2,2,2016,2,4
"26",26,"四川多地召开2018年台胞台属迎春座谈会_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201802/t20180224_11926724.htm","2018-02-13","Compatriots",8,8,2018,2,13
"27",27,"湖北省台办:台湾当局应尽快让留鄂台胞返乡,不要再以各种借口阻挠...","http://www.gwytb.gov.cn/wyly/202002/t20200208_12240176.htm","2020-02-08","Compatriots",2,2,2020,2,8
"28",28,"渔业船员职业资格考试对台胞开放_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/zzks/zxzx_43780/201807/t20180706_11972419.htm","2020-12-08","Compatriots",10,10,2020,12,8
"29",29,"上海市闵行区台办发行《台胞服务手册》 详列台胞服务清单_中共...","http://www.gwytb.gov.cn/service/cxggjc/201508/t20150804_10401249.htm","2015-08-04","Compatriots",1,1,2015,8,4
"30",30,"大陆出台多项措施方便台胞就医 费用享受国民待遇_中共中央台湾...","http://www.gwytb.gov.cn/zn/doctor/201401/t20140113_5518508.htm","2012-10-30","Compatriots",1,1,2012,10,30
"31",31,"台胞在大陆从事个体经营_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/jy/rd1/lai1/201312/t20131231_5456870.htm","2020-12-08","Compatriots",10,10,2020,12,8
"32",32,"国台办介绍落实“31条惠及台胞措施”最新进展_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201805/t20180530_11960291.htm","2018-05-30","Compatriots",1,1,2018,5,30
"33",33,"【图解】台胞在大陆:住房公积金怎么用?_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jy/rd1/lai1/201802/t20180201_11913634.htm","2020-12-07","Compatriots",7,7,2020,12,7
"34",34,"2018年海峡西岸台胞青年夏令营在厦门闭营_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/lajlwl/qt/201807/t20180720_12038205.htm","2020-12-07","Compatriots",7,7,2020,12,7
"35",35,"深圳落实惠台措施 99项政策同等适用台胞_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/31t/bjzl/201807/t20180725_12039860.html","2018-07-24","Compatriots",2,2,2018,7,24
"36",36,"陈元丰走访慰问重庆、四川台胞并调研_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/newsb/201912/t20191231_12229461.htm","2019-12-31","Compatriots",3,3,2019,12,31
"37",37,"刘军川在福建、浙江走访慰问台胞台企_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/newsb/202001/t20200103_12230163.htm","2019-12-31","Compatriots",3,3,2019,12,31
"38",38,"服务台胞在行动_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/service/","2020-12-03","Compatriots",7,7,2020,12,3
"39",39,"山东省台办主任孟庆斌到济阳县调研 强调尽心尽情为台胞服务_中共...","http://www.gwytb.gov.cn/service/201706/t20170609_11798189.htm","2017-06-09","Compatriots",1,1,2017,6,9
"40",40,"四川各地台胞踊跃申领台胞居住证_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180912_12058507.htm","2020-12-07","Compatriots",7,7,2020,12,7
"41",41,"沈阳市台办落实“31条惠及台胞措施” 积极为台商台胞排忧解难...","http://www.gwytb.gov.cn/service/cxggjc/201804/t20180419_11945671.htm","2018-04-19","Compatriots",1,1,2018,4,19
"42",42,"桂林市台办展现服务台商台胞工作新气象_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201405/t20140523_6201376.htm","2020-12-07","Compatriots",7,7,2020,12,7
"43",43,"福建全面启动“台商台胞服务年”活动 出台21项措施_中共中央台湾...","http://www.gwytb.gov.cn/service/cxggjc/201803/t20180319_11934782.htm","2018-03-19","Compatriots",1,1,2018,3,19
"44",44,"台湾未能加入RCEP,国台办:欢迎台胞台企到大陆投资创业,共享发展...","http://www.gwytb.gov.cn/wyly/202011/t20201125_12308211.htm","2020-11-25","Compatriots",3,7,2020,11,25
"45",45,"海南首日办理港澳台居民居住证 台胞期盼便利生活_中共中央台湾...","http://www.gwytb.gov.cn/jl/zxzx_43777/201809/t20180905_12055917.htm","2018-09-01","Compatriots",7,7,2018,9,1
"46",46,"郑州市副市长黄卿慰问困难台胞台属_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201701/t20170123_11685588.htm","2020-12-07","Compatriots",7,7,2020,12,7
"47",47,"大爱跨越海峡 台胞捐献骨髓救海南白血病患者_中共中央台湾工作...","http://www.gwytb.gov.cn/guide_rules/exe/201305/t20130531_4265921.htm","2013-05-29","Compatriots",1,2,2013,5,29
"48",48,"南昌市台胞台属联谊会隆重召开2017年迎春座谈会_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201701/t20170120_11683944.htm","2017-01-19","Compatriots",1,1,2017,1,19
"49",49,"“两岸一家亲·银企话共赢——齐鲁银行临沂分行、临沂市台胞台属...","http://www.gwytb.gov.cn/service/fwtqfa/201809/t20180906_12056298.htm","2018-09-06","Compatriots",3,3,2018,9,6
"50",50,"台胞就业_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/jy/zcfg/l/201312/t20131231_5456896.htm","2007-09-29","Compatriots",1,3,2007,9,29
"51",51,"关于深化来宁台胞宜学宜业宜游宜居服务的若干措施(全文)_中共中央...","http://www.gwytb.gov.cn/31t/bjzl/201808/t20180809_12045193.html","2018-08-09","Compatriots",1,1,2018,8,9
"52",52,"裴金佳在江西、广东走访慰问台胞台企_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/newsb/202001/t20200103_12230101.htm","2019-12-31","Compatriots",3,3,2019,12,31
"53",53,"厦门市湖里区台办创新举措 首聘专业律师顾问团服务台胞台商_中共...","http://www.gwytb.gov.cn/service/201709/t20170915_11843184.htm","2020-12-07","Compatriots",7,7,2020,12,7
"54",54,"裴金佳在福建走访慰问台胞台企_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/newsb/201901/t20190122_12134222.htm","2019-01-22","Compatriots",1,1,2019,1,22
"55",55,"24小时,湖南省市合力护送突发脑梗的台胞回乡_中共中央台湾工作...","http://www.gwytb.gov.cn/service/201707/t20170719_11820791.htm","2020-12-06","Compatriots",7,7,2020,12,6
"56",56,"龙明彪走访慰问湖南台胞并调研_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/newsb/201901/t20190124_12135453.htm","2019-01-24","Compatriots",1,1,2019,1,24
"57",57,"台胞台企踊跃捐款捐物支持大陆抗击疫情_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wyly/202002/t20200207_12240013.htm","2020-12-06","Compatriots",7,7,2020,12,6
"58",58,"国台办:福建平潭积极建设台胞台企登陆第一家园先行区_中共中央...","http://www.gwytb.gov.cn/wyly/201906/t20190626_12177770.htm","2019-06-26","Compatriots",2,2,2019,6,26
"59",59,"昆山出台68项措施 加快给予台胞同等待遇_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jj/zxzx_43783/201807/t20180723_12039033.htm","2018-07-18","Compatriots",2,2,2018,7,18
"60",60,"服務台胞在行動_中共中央臺灣工作辦公室、國務院臺灣事務辦公室","http://big5.gwytb.gov.cn/service/","2020-12-06","Compatriots",7,7,2020,12,6
"61",61,"台胞子女就读大陆中小学和幼儿园_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/jx/zcfg_43770/l_43873/201312/t20131226_5433591.htm","2020-12-06","Compatriots",7,7,2020,12,6
"62",62,"台胞权益保护法律体系_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/tbqy/protect/","2020-12-06","Compatriots",7,7,2020,12,6
"63",63,"台胞如何办理“金马证”_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/zzks/zcfg_43779/qt_43894/201710/t20171019_11854366.htm","2008-01-21","Compatriots",1,1,2008,1,21
