"","Title","News_Link","Date","Status","Status_Frequency"
"1","杭州“市民之家”热心服务台胞获赠锦旗_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201808/t20180827_12051806.htm",2018-08-27,"Compatriots",3
"2","福建漳浦严厉打击侵犯台胞台企合法权益犯罪行为_中共中央台湾工作...","http://www.gwytb.gov.cn/tbqy/zongshu/201808/t20180829_12052802.htm",2018-08-22,"Compatriots",1
"3","大连市举办台商台胞暨两岸婚姻家庭迎中秋联谊会_中共中央台湾工作...","http://www.gwytb.gov.cn/service/gxtbsh/201809/t20180920_12062323.htm",2020-12-09,"Compatriots",6
"4","台湾居民来往大陆通行证(台胞证)办理及签注方法_中共中央台湾工作...","http://www.gwytb.gov.cn/zn/crj/201211/t20121119_3378792.htm",2020-12-09,"Compatriots",6
"5","台胞可报考2018年全国导游资格考试_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/zzks/zxzx_43780/201807/t20180730_12042048.htm",2018-07-24,"Compatriots",2
"6","台胞在家突然晕倒病危 上海有关方合力抢救_中共中央台湾工作办公...","http://www.gwytb.gov.cn/jy_43772/zxzx_43774/201412/t20141216_8382943.htm",2014-12-05,"Compatriots",1
"7","台湾未能加入RCEP,国台办:欢迎台胞台企到大陆投资创业,共享发展...","http://www.gwytb.gov.cn/m/news/202011/t20201125_12308216.htm",2020-11-25,"Compatriots",3
"8","江西省台胞服务中心、台胞法律服务中心挂牌成立_中共中央台湾工作...","http://www.gwytb.gov.cn/local/201701/t20170124_11686977.htm",2017-01-22,"Compatriots",3
"9","成都市温江区积极解决台胞子女入学问题_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/gxtbsh/201808/t20180830_12053491.htm",2020-12-09,"Compatriots",6
"10","陈元丰走访慰问天津台胞并调研_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/newsb/201901/t20190118_12133070.htm",2019-01-18,"Compatriots",2
"11","国台办介绍各地各部门落实“31条惠及台胞措施”新进展_中共中央...","http://www.gwytb.gov.cn/wyly/201806/t20180627_11969492.htm",2018-06-27,"Compatriots",2
"12","济宁市公安机关出台服务台商台胞十项措施_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/wl/zxzx_43786/201412/t20141216_8377799.htm",2014-05-22,"Compatriots",1
"13","陈云林就制订台胞投资保护法实施细则发表谈话_中共中央台湾工作...","http://www.gwytb.gov.cn/zlzx/location/201101/t20110123_1725680.htm",2020-12-08,"Compatriots",10
"14","广州市花都区积极做好台胞子女就学服务工作_中共中央台湾工作办公...","http://www.gwytb.gov.cn/service/201704/t20170427_11755044.htm",2017-04-26,"Compatriots",1
"15","南充市台办春节前夕走访慰问台胞台属_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201701/t20170111_11676097.htm",2020-12-08,"Compatriots",10
"16","各地服务台胞举措_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/fuwu/",2020-12-08,"Compatriots",10
"17","全国台联2018年台胞青年千人夏令营四川·成都分营开营_中共中央...","http://www.gwytb.gov.cn/local/201807/t20180718_12036921.htm",2018-07-18,"Compatriots",2
"18","关心台胞生活_中共中央台湾工作办公室、国务院台湾事务办公室","http://www.gwytb.gov.cn/service/gxtbsh/",2020-12-08,"Compatriots",10
"19","台胞子女就读大陆中小学和幼儿园_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/zn/jx/201103/t20110323_1797068.htm",2020-12-08,"Compatriots",10
"20","南京市台办组织第十五批台商台胞集中换领驾照_中共中央台湾工作...","http://www.gwytb.gov.cn/service/cxggjc/201802/t20180209_11923287.htm",2020-12-08,"Compatriots",10
"21","台湾律师加盟杭州台商法律服务团 助力台胞分享大陆发展红利_中共...","http://www.gwytb.gov.cn/service/cxggjc/201803/t20180322_11936215.htm",2020-12-08,"Compatriots",10
"22","全国台联2018年台胞青年千人夏令营江西分营圆满闭营_中共中央台湾...","http://www.gwytb.gov.cn/local/201807/t20180731_12042364.htm",2018-07-31,"Compatriots",2
"23","上海:30位台胞获颁首批台湾居民居住证_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/jl/zxzx_43777/201809/t20180925_12095065.htm",2018-09-19,"Compatriots",1
"24","台胞怎样在大陆申请学历学位认证_中共中央台湾工作办公室、国务院...","http://www.gwytb.gov.cn/jx/re2/qt2/201710/t20171019_11854342.htm",2020-12-08,"Compatriots",10
"25","广东珠海等地召开台胞台商台属迎春座谈会_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/service/201602/t20160204_11382441.htm",2016-02-04,"Compatriots",2
