"","Title","News_Link","Date","Status","Status_Frequency"
"1","周志怀:“台独”是国家安全最大威胁_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674424.htm",2020-12-09,"Independence Advocates",2
"2","姚志胜:坚决抵制任何形式的“台独”分裂行径_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/202005/t20200529_12278490.htm",2020-05-29,"Independence Advocates",3
"3","中台办、国台办发言人就吕秀莲“台独”言论发表谈话,任何分裂民族...","http://www.gwytb.gov.cn/zlzx/location/201101/t20110123_1725683.htm",2020-12-09,"Independence Advocates",2
"4","国台办评李登辉病亡:“台独”是一条走不通的绝路_中共中央台湾...","http://www.gwytb.gov.cn/wyly/202007/t20200731_12288361.htm",2020-07-31,"Independence Advocates",1
"5","国台办:“台独”分子利用所谓“修法立法”打压两岸交流的险恶用心...","http://www.gwytb.gov.cn/m/news/202011/t20201125_12308217.htm",2020-11-25,"Independence Advocates",4
"6","国台办:持续精准打击、依法严惩“台独”顽固分子_中共中央台湾...","http://www.gwytb.gov.cn/wyly/202011/t20201125_12308214.htm",2020-11-25,"Independence Advocates",4
"7","国台办:“2.28”事件被“台独”势力刻意歪曲_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201702/t20170222_11705906.htm",2017-02-22,"Independence Advocates",1
"8","宋楚瑜一行再次访问江苏 旗帜鲜明反对“台独”_中共中央台湾工作...","http://www.gwytb.gov.cn/lajlwl/zdjl/201101/t20110107_1684147.htm",2010-11-02,"Independence Advocates",1
"9","国台办:坚决反对任何形式“台独”挑衅行径_中共中央台湾工作办公...","http://www.gwytb.gov.cn/m/news/201810/t20181031_12107909.htm",2018-10-31,"Independence Advocates",2
"10","评民进党“正常国家决议文”:迈向“法理台独”告白书_中共中央...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674427.htm",2020-12-04,"Independence Advocates",1
"11","胡锦涛:新的一年里反对“台独”分裂活动决不妥协_中共中央台湾...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723912.htm",2008-01-02,"Independence Advocates",1
"12","坚决遏制“台独”分裂活动 维护台海地区和平稳定 继续争取两岸...","http://www.gwytb.gov.cn/zt/jiang/201101/t20110105_1676878.htm",2005-01-28,"Independence Advocates",2
"13","国台办:制定“台独”顽固分子清单绝非针对广大台湾同胞_中共中央...","http://www.gwytb.gov.cn/wyly/202011/t20201125_12308213.htm",2020-11-25,"Independence Advocates",4
"14","国台办:警告“台独”是维护台湾同胞的福祉_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wyly/201804/t20180425_11948531.htm",2018-04-25,"Independence Advocates",1
"15","国台办:绝不容忍“台独”分裂势力分裂国家_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wyly/201906/t20190612_12173357.htm",2019-06-12,"Independence Advocates",2
"16","警惕“文化台独”的陷阱_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674221.htm",2020-12-02,"Independence Advocates",3
"17","国台办:美方切勿一再向“台独”势力发出错误信号_中共中央台湾...","http://www.gwytb.gov.cn/wyly/202008/t20200824_12291955.htm",2020-08-24,"Independence Advocates",1
"18","人民日报:扁讲话是“和平”烟雾下的台独告白_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674267.htm",2020-12-02,"Independence Advocates",3
"19","外交部发言人就“台独”问题答记者问_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/zlzx/zchb/201101/t20110123_1725729.htm",1993-02-05,"Independence Advocates",1
"20","国台办:民进党“对中政策检讨纪要”顽固坚持“台独”立场_中共...","http://www.gwytb.gov.cn/wyly/201401/t20140110_5507985.htm",2014-01-10,"Independence Advocates",1
"21","国台办:“台独”分子利用所谓“修法立法”打压两岸交流的险恶用心...","http://www.gwytb.gov.cn/wyly/202011/t20201125_12308212.htm",2020-11-25,"Independence Advocates",4
"22","《馆藏民国台湾档案汇编》揭穿“台独”分子谎言_中共中央台湾工作...","http://www.gwytb.gov.cn/wyly/201101/t20110124_1730952.htm",2007-11-13,"Independence Advocates",1
"23","国台办批游锡堃“台独”言论:妄想“以疫谋独”,丧失基本良知_中共...","http://www.gwytb.gov.cn/wyly/202002/t20200214_12243335.htm",2020-02-14,"Independence Advocates",1
"24","国台办:“台独”分子胆敢以身试法必遭严惩_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wyly/202006/t20200612_12281271.htm",2020-06-12,"Independence Advocates",1
"25","专访吴能远:“台独”政策令台湾陷入苦境_中共中央台湾工作办公室...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674422.htm",2020-12-02,"Independence Advocates",3
"26","国台办:坚决反对以包括公投在内的任何方式进行“台独”分裂活动...","http://www.gwytb.gov.cn/wyly/201712/t20171213_11878740.htm",2017-12-13,"Independence Advocates",1
"27","李炳才:坚决遏制“台独”分裂活动 期待两岸协商谈判恢复_中共中央...","http://www.gwytb.gov.cn/speech/tbldjh/201101/t20110123_1724367.htm",2008-02-20,"Independence Advocates",1
"28","外交部发言人就美国前司法部长克拉克赴台参加“台独”游行一事答...","http://www.gwytb.gov.cn/zlzx/zchb/201101/t20110123_1725706.htm",1991-09-13,"Independence Advocates",1
"29","刘延东:反对和遏制“台独”仍是最紧迫任务_中共中央台湾工作办公...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723872.htm",2006-12-15,"Independence Advocates",1
"30","国台办:台湾同胞应高度警惕并坚决反对“台独”分子谋“独”伎俩...","http://www.gwytb.gov.cn/wyly/202011/t20201111_12306168.htm",2020-11-11,"Independence Advocates",3
"31","反恐是假,“台独”是真_中共中央台湾工作办公室、国务院台湾事务...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674207.htm",2020-12-01,"Independence Advocates",1
"32","国台办:“台独”只会给台湾同胞带来祸害而非喜乐_中共中央台湾...","http://www.gwytb.gov.cn/wyly/201809/t20180912_12058921.htm",2018-09-12,"Independence Advocates",3
"33","贾庆林:坚持反对“台独”分裂活动决不妥协_中共中央台湾工作办公...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723865.htm",2006-09-29,"Independence Advocates",1
"34","贾庆林:“台独”直接威胁亚太地区的和平与稳定_中共中央台湾工作...","http://www.gwytb.gov.cn/speech/speech/201101/t20110123_1723845.htm",2006-03-28,"Independence Advocates",1
"35","国台办发言人:搞“台独”分裂必将自食恶果_中共中央台湾工作办公...","http://www.gwytb.gov.cn/wyly/201803/t20180320_11935353.htm",2018-03-20,"Independence Advocates",3
"36","陈云林:坚决反对“台独”分裂活动 努力争取祖国和平统一的光明...","http://www.gwytb.gov.cn/zt/jiang/201101/t20110105_1676879.htm",2005-02-18,"Independence Advocates",1
"37","新华社评论员:警惕“台独”分裂势力制造两岸新的紧张_中共中央...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674293.htm",2020-11-29,"Independence Advocates",4
"38","人民日报评论员文章:和平统一法 保护台胞法 反“台独”法_中共...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674291.htm",2020-11-29,"Independence Advocates",4
"39","国台办:严正警告“台独”分子“修宪谋独”必将玩火自焚_中共中央...","http://www.gwytb.gov.cn/wyly/202009/t20200930_12299550.htm",2020-09-30,"Independence Advocates",1
"40","...局势稳定的最大祸害?为什么要高度警惕和坚决反对“渐进式台独...","http://www.gwytb.gov.cn/zt/jqa/201103/t20110309_1778339.htm",2020-11-29,"Independence Advocates",4
"41","《瞭望》文章:两岸军人应携手合作遏制“台独”_中共中央台湾工作...","http://www.gwytb.gov.cn/forum/201101/t20110104_1674433.htm",2020-11-29,"Independence Advocates",4
"42","国台办:依法打击“台独”顽固分子目的是维护两岸同胞利益_中共...","http://www.gwytb.gov.cn/wyly/202011/t20201118_12307169.htm",2020-11-18,"Independence Advocates",1
