"","Country","year","Military_GDP"
"1","USA",1949,5.27202005452264
"2","USA",1950,5.08196344009797
"3","USA",1951,10.1670211701177
"4","USA",1952,13.8600809955537
"5","Japan",1952,2.07093453434132
"6","USA",1953,13.5802724604204
"7","Japan",1953,2.03107183580388
"8","Korea, South",1953,2.36286919831224
"9","USA",1954,11.7365955271285
"10","Japan",1954,2.19315121200462
"11","Korea, South",1954,5.85365853658537
"12","USA",1955,10.1562448635985
"13","Japan",1955,2.10287352888464
"14","Korea, South",1955,6.24226348364279
"15","USA",1956,9.90101162224892
"16","Japan",1956,1.7458767591433
"17","Korea, South",1956,8.32778147901399
"18","USA",1957,9.99243948515759
"19","Japan",1957,1.49655102548281
"20","Korea, South",1957,6.79611650485437
"21","USA",1958,10.0717639870091
"22","Japan",1958,1.43218671728071
"23","Korea, South",1958,7.42744712247909
"24","USA",1959,9.43877296397373
"25","Japan",1959,1.26418656133674
"26","Korea, South",1959,7.63888888888889
"27","USA",1960,8.99312458715278
"28","Japan",1960,1.08059488934833
"29","Korea, South",1960,7.15754833401892
"30","USA",1961,9.15603150017123
"31","Japan",1961,0.916660202208259
"32","Korea, South",1961,6.72614962251201
"33","USA",1962,9.33167294545843
"34","Japan",1962,0.882981583852488
"35","Korea, South",1962,6.8671963677639
"36","USA",1963,8.83189118618018
"37","Japan",1963,0.902911616201838
"38","Korea, South",1963,4.82385908726982
"39","USA",1964,8.0512811057284
"40","Japan",1964,0.87504612187006
"41","Korea, South",1964,4.13443960061876
"42","USA",1965,7.58724717722602
"43","Japan",1965,0.899713990141788
"44","Korea, South",1965,4.41047487783486
"45","USA",1966,8.43530028594507
"46","Japan",1966,0.879421011265392
"47","Korea, South",1966,4.68887369346488
"48","USA",1967,9.41779593255137
"49","Japan",1967,0.836230312650205
"50","Korea, South",1967,4.68514253950608
"51","USA",1968,9.26845427468793
"52","Japan",1968,0.793866529243094
"53","Korea, South",1968,4.73064179653945
"54","USA",1969,8.63326379509104
"55","Japan",1969,0.772551017292608
"56","Korea, South",1969,4.69439489249836
"57","USA",1970,8.03274358404085
"58","Japan",1970,0.773230313218779
"59","Korea, South",1970,4.40334654337296
"60","USA",1971,6.94306960936061
"61","Japan",1971,0.824119314063094
"62","Korea, South",1971,4.73498860643367
"63","USA",1972,6.51975692434716
"64","Japan",1972,0.842475301533426
"65","Korea, South",1972,5.010068079394
"66","USA",1973,5.8938705911674
"67","Japan",1973,0.815014489146474
"68","Korea, South",1973,4.03473216443858
"69","USA",1974,5.95411119676015
"70","Japan",1974,0.862068323351509
"71","Korea, South",1974,4.54144562770677
"72","USA",1975,5.62267909613336
"73","Japan",1975,0.907387056975466
"74","Korea, South",1975,4.87871647715607
"75","USA",1976,5.19107142902555
"76","Japan",1976,0.891651107922652
"77","Korea, South",1976,5.90815568383151
"78","Taiwan",1976,6.23631475373486
"79","USA",1977,5.15561735127125
"80","Japan",1977,0.890681061512105
"81","Korea, South",1977,6.03493912122816
"82","Taiwan",1977,6.91767376960008
"83","USA",1978,4.94308724791688
"84","Japan",1978,0.891286374043561
"85","Korea, South",1978,6.37145061919441
"86","Taiwan",1978,7.01927829955512
"87","USA",1979,4.95199153527265
"88","Japan",1979,0.907392110929058
"89","Korea, South",1979,5.5258765683501
"90","Taiwan",1979,7.58445391931781
"91","USA",1980,5.15353746651637
"92","Japan",1980,0.906794213450064
"93","Korea, South",1980,6.39877211320904
"94","Taiwan",1980,7.2900418684837
"95","USA",1981,5.64654125624258
"96","Japan",1981,0.91664815297164
"97","Korea, South",1981,6.41585729782663
"98","Taiwan",1981,6.64804107159774
"99","USA",1982,6.81405709441284
"100","Japan",1982,0.926375566882048
"101","Korea, South",1982,6.24089448534207
"102","Taiwan",1982,6.99032291680639
"103","USA",1983,6.32114425976717
"104","Japan",1983,0.952297427190256
"105","Korea, South",1983,5.72681360842501
"106","Taiwan",1983,6.33639092997482
"107","USA",1984,6.23641652963897
"108","Japan",1984,0.958404158758974
"109","Korea, South",1984,5.25453539277515
"110","Taiwan",1984,5.72578097998912
"111","USA",1985,6.4532192046686
"112","Japan",1985,0.95939791396488
"113","Korea, South",1985,5.22553168462828
"114","Taiwan",1985,6.09224246572966
"115","USA",1986,6.62652265789842
"116","Japan",1986,0.962811252055438
